CustomerID,Термін (міс),Місячна оплата,Загальна оплата,Дзвінки підтримки,Тип договору,Інтернет,Онлайн-захист,Пенсіонер,Відтік
CUS0054,54,85.71,4628.4,5,Один рік,Немає,0,0,1
CUS0055,4,63.57,254.27,7,Місяць-до-місяця,DSL,1,0,1
CUS0056,54,93.0,5022.21,0,Один рік,Немає,0,1,0
CUS0057,63,24.77,1560.61,9,Місяць-до-місяця,DSL,1,0,0
CUS0058,18,76.6,1378.87,3,Один рік,DSL,1,0,0
CUS0059,44,35.86,1578.04,0,Місяць-до-місяця,Оптоволокно,1,0,0
CUS0060,34,32.02,1088.56,7,Місяць-до-місяця,DSL,0,0,0
CUS0061,62,54.19,3359.65,0,Один рік,Немає,1,0,0
CUS0062,14,29.18,408.52,2,Місяць-до-місяця,Немає,1,1,0
CUS0063,48,29.42,1411.95,3,Місяць-до-місяця,Оптоволокно,0,0,1
CUS0064,15,51.14,767.12,7,Два роки,DSL,1,0,1
CUS0065,62,117.95,7312.97,5,Два роки,DSL,1,0,1
CUS0066,40,37.53,1501.32,9,Місяць-до-місяця,Оптоволокно,1,0,1
CUS0067,53,21.72,1150.95,6,Місяць-до-місяця,Немає,1,0,1
CUS0068,24,96.34,2312.07,7,Один рік,Оптоволокно,1,0,1
CUS0069,26,100.69,2617.97,1,Місяць-до-місяця,DSL,0,1,1
CUS0070,60,54.63,3277.83,9,Місяць-до-місяця,Оптоволокно,1,0,0
CUS0071,41,66.47,2725.16,7,Місяць-до-місяця,Оптоволокно,1,0,1
CUS0072,29,84.98,2464.34,2,Один рік,Оптоволокно,0,0,0
CUS0073,15,24.81,372.09,6,Один рік,DSL,0,0,1
CUS0074,45,114.91,5171.16,2,Місяць-до-місяця,Оптоволокно,0,0,0
CUS0075,65,108.67,7063.42,6,Місяць-до-місяця,Оптоволокно,1,0,0
CUS0076,71,46.09,3272.34,1,Місяць-до-місяця,Немає,0,0,1
CUS0077,9,21.53,193.77,9,Один рік,DSL,1,0,0
CUS0078,1,113.34,113.34,5,Місяць-до-місяця,Оптоволокно,1,0,1
CUS0079,8,70.1,560.83,2,Місяць-до-місяця,Немає,0,0,1
CUS0080,63,73.94,4658.08,2,Один рік,DSL,0,1,1
CUS0081,11,88.4,972.36,8,Місяць-до-місяця,Немає,1,0,1
CUS0082,8,81.59,652.68,6,Один рік,Оптоволокно,0,0,1
CUS0083,35,114.39,4003.62,4,Місяць-до-місяця,DSL,1,0,1
CUS0084,35,114.43,4004.88,9,Місяць-до-місяця,DSL,0,1,0
CUS0085,33,106.72,3521.76,6,Місяць-до-місяця,Оптоволокно,0,1,1
CUS0086,5,83.64,418.2,8,Один рік,DSL,0,0,1
CUS0087,41,100.09,4103.89,0,Два роки,Оптоволокно,1,1,1
CUS0088,28,87.72,2456.07,6,Два роки,DSL,0,0,0
CUS0089,7,77.34,541.36,5,Місяць-до-місяця,Оптоволокно,1,0,1
CUS0090,12,32.85,394.2,9,Один рік,DSL,1,0,1
CUS0091,34,101.12,3438.09,8,Місяць-до-місяця,Немає,1,0,1
CUS0092,33,102.06,3368.11,0,Місяць-до-місяця,Немає,1,0,1
CUS0093,48,82.59,3964.51,3,Два роки,Немає,0,0,0
CUS0094,23,102.04,2346.98,8,Місяць-до-місяця,Оптоволокно,1,0,1
CUS0095,62,85.15,5279.21,3,Місяць-до-місяця,DSL,1,0,0
CUS0096,37,40.67,1504.73,9,Місяць-до-місяця,Оптоволокно,0,0,0
CUS0097,44,47.4,2085.43,2,Місяць-до-місяця,DSL,1,0,0
CUS0098,35,41.46,1451.06,8,Місяць-до-місяця,DSL,0,0,0
CUS0099,65,57.73,3752.18,1,Один рік,DSL,1,0,0
CUS0100,47,23.9,1123.13,3,Місяць-до-місяця,Оптоволокно,0,0,1
CUS0101,3,81.83,245.48,5,Два роки,Оптоволокно,1,1,1
CUS0102,1,53.66,53.66,1,Два роки,Оптоволокно,0,0,1
CUS0103,5,85.57,427.86,7,Місяць-до-місяця,Оптоволокно,1,0,1
CUS0104,14,58.54,819.56,7,Місяць-до-місяця,DSL,1,0,0
CUS0105,27,88.16,2380.36,0,Місяць-до-місяця,Немає,0,0,0
CUS0106,9,54.06,486.56,2,Один рік,Оптоволокно,0,0,1
CUS0107,15,46.07,691.04,9,Місяць-до-місяця,Оптоволокно,0,0,1
CUS0108,42,69.6,2923.36,8,Один рік,DSL,0,1,0
CUS0109,51,89.29,4553.74,4,Місяць-до-місяця,Оптоволокно,1,0,0
CUS0110,63,54.83,3454.52,5,Один рік,Оптоволокно,1,1,0
CUS0111,52,113.66,5910.57,3,Місяць-до-місяця,DSL,0,1,1
CUS0112,4,23.92,95.67,9,Місяць-до-місяця,DSL,1,0,1
CUS0113,23,61.79,1421.28,1,Два роки,Оптоволокно,0,1,1
CUS0114,15,116.76,1751.37,7,Один рік,Оптоволокно,0,0,1
CUS0115,43,74.8,3216.28,5,Місяць-до-місяця,DSL,1,0,1
CUS0116,29,62.35,1808.07,4,Два роки,Немає,1,0,0
CUS0117,36,76.85,2766.67,8,Місяць-до-місяця,DSL,1,1,0
CUS0118,13,77.59,1008.7,0,Два роки,Оптоволокно,1,1,1
CUS0119,32,93.16,2981.27,4,Один рік,Немає,1,0,1
CUS0120,71,32.77,2326.6,5,Місяць-до-місяця,Оптоволокно,1,0,0
CUS0121,59,45.0,2655.1,4,Місяць-до-місяця,Оптоволокно,1,0,0
CUS0122,28,78.05,2185.52,5,Місяць-до-місяця,DSL,0,0,1
CUS0123,66,106.71,7042.97,5,Один рік,DSL,0,0,0
CUS0124,42,76.19,3199.84,6,Один рік,Немає,0,0,0
CUS0125,45,43.86,1973.69,3,Місяць-до-місяця,Оптоволокно,0,0,1
CUS0126,62,87.98,5455.04,7,Місяць-до-місяця,Немає,0,0,1
CUS0127,57,93.99,5357.48,6,Два роки,DSL,1,1,0
CUS0128,6,43.82,262.94,8,Два роки,DSL,0,0,0
CUS0129,28,57.77,1617.64,6,Один рік,DSL,0,0,0
CUS0130,28,73.43,2056.12,2,Місяць-до-місяця,Оптоволокно,0,0,0
CUS0131,44,69.66,3064.87,2,Місяць-до-місяця,DSL,0,1,1
CUS0132,30,58.96,1768.85,7,Місяць-до-місяця,Немає,0,1,0
CUS0133,62,49.76,3085.34,4,Два роки,Оптоволокно,0,0,1
CUS0134,62,30.0,1859.91,3,Місяць-до-місяця,Немає,0,0,0
CUS0135,1,25.35,25.35,7,Один рік,DSL,1,0,0
CUS0136,27,115.85,3128.06,5,Місяць-до-місяця,Немає,1,0,1
CUS0137,62,104.71,6492.29,1,Один рік,Оптоволокно,0,0,0
CUS0138,3,55.49,166.47,3,Один рік,Оптоволокно,1,0,0
CUS0139,70,115.68,8097.61,3,Два роки,Немає,1,0,1
CUS0140,27,87.68,2367.28,5,Місяць-до-місяця,Оптоволокно,1,0,0
CUS0141,9,68.25,614.27,5,Місяць-до-місяця,Оптоволокно,1,0,1
CUS0142,62,69.3,4296.76,0,Місяць-до-місяця,DSL,0,0,0
CUS0143,37,28.33,1048.15,7,Два роки,DSL,1,0,1
CUS0144,51,29.17,1487.69,5,Два роки,Немає,1,1,1
CUS0145,44,80.24,3530.74,2,Один рік,Оптоволокно,1,0,0
CUS0146,24,75.37,1808.89,8,Один рік,Оптоволокно,0,1,1
CUS0147,59,41.27,2435.09,1,Один рік,Оптоволокно,0,0,0
CUS0148,32,114.62,3667.82,7,Місяць-до-місяця,DSL,0,0,1
CUS0149,52,98.13,5102.74,9,Два роки,DSL,0,0,1
CUS0150,62,31.35,1943.48,2,Місяць-до-місяця,Оптоволокно,0,0,1
CUS0151,58,113.09,6559.39,4,Місяць-до-місяця,Оптоволокно,0,0,0
CUS0152,52,117.42,6106.09,5,Один рік,DSL,0,0,1
CUS0153,12,119.59,1435.12,9,Місяць-до-місяця,Оптоволокно,1,0,1
CUS0154,39,25.59,997.9,5,Місяць-до-місяця,DSL,1,0,0
CUS0155,2,93.7,187.41,3,Один рік,Оптоволокно,1,0,0
CUS0156,3,74.59,223.77,2,Місяць-до-місяця,DSL,0,0,1
CUS0157,56,90.58,5072.66,3,Один рік,Оптоволокно,0,0,0
CUS0158,59,116.87,6895.05,0,Місяць-до-місяця,DSL,0,0,0
CUS0159,2,88.8,177.61,3,Місяць-до-місяця,Оптоволокно,0,0,1
CUS0160,2,103.7,207.39,0,Місяць-до-місяця,DSL,0,0,1
CUS0161,54,106.69,5761.09,0,Місяць-до-місяця,DSL,1,1,0
CUS0162,1,103.85,103.85,9,Один рік,DSL,1,0,1
CUS0163,19,62.61,1189.57,5,Місяць-до-місяця,Оптоволокно,0,0,0
CUS0164,2,42.26,84.52,4,Один рік,Оптоволокно,0,1,0
CUS0165,53,59.67,3162.25,3,Місяць-до-місяця,DSL,0,0,0
CUS0166,44,109.19,4804.35,2,Один рік,Оптоволокно,0,0,0
CUS0167,32,34.66,1109.14,0,Два роки,Немає,1,0,0
CUS0168,70,71.33,4993.28,5,Один рік,Оптоволокно,0,0,0
CUS0169,32,43.32,1386.33,1,Місяць-до-місяця,DSL,0,0,0
CUS0170,68,78.13,5312.88,7,Місяць-до-місяця,Оптоволокно,0,0,0
CUS0171,55,106.31,5847.26,9,Місяць-до-місяця,DSL,0,0,0
CUS0172,56,108.04,6050.02,4,Один рік,DSL,1,0,0
CUS0173,17,43.67,742.36,6,Місяць-до-місяця,Немає,0,1,0
CUS0174,38,110.77,4209.24,9,Місяць-до-місяця,DSL,0,0,1
CUS0175,24,79.19,1900.53,1,Один рік,Оптоволокно,1,0,1
CUS0176,69,55.02,3796.51,7,Місяць-до-місяця,Оптоволокно,1,0,0
CUS0177,70,90.82,6357.27,1,Один рік,Оптоволокно,1,0,1
CUS0178,11,68.17,749.83,3,Місяць-до-місяця,Оптоволокно,0,0,0
CUS0179,16,57.8,924.78,0,Місяць-до-місяця,DSL,0,0,1
CUS0180,59,90.51,5340.0,4,Один рік,DSL,1,0,1
CUS0181,70,44.87,3141.07,8,Місяць-до-місяця,Оптоволокно,1,1,1
CUS0182,3,53.03,159.08,0,Один рік,DSL,1,0,0
CUS0183,20,63.45,1268.9,8,Місяць-до-місяця,DSL,1,0,0
CUS0184,59,45.37,2676.72,7,Місяць-до-місяця,DSL,1,0,0
CUS0185,36,60.52,2178.73,5,Два роки,DSL,1,0,1
CUS0186,19,77.15,1465.8,6,Один рік,DSL,0,0,1
CUS0187,67,94.1,6304.52,2,Один рік,DSL,0,0,0
CUS0188,19,96.72,1837.67,0,Місяць-до-місяця,Оптоволокно,0,0,0
CUS0189,20,102.28,2045.58,4,Один рік,Оптоволокно,1,0,0
CUS0190,71,94.42,6703.9,1,Місяць-до-місяця,Немає,1,0,0
CUS0191,52,88.1,4581.41,4,Місяць-до-місяця,DSL,1,0,1
CUS0192,33,43.75,1443.77,7,Два роки,DSL,1,0,0
CUS0193,40,60.02,2400.89,8,Місяць-до-місяця,DSL,1,0,1
CUS0194,39,67.77,2643.09,1,Два роки,Оптоволокно,1,0,0
CUS0195,1,28.29,28.29,2,Місяць-до-місяця,Оптоволокно,0,0,1
CUS0196,11,72.84,801.21,2,Місяць-до-місяця,DSL,0,0,1
CUS0197,57,63.63,3627.11,0,Один рік,Немає,1,0,1
CUS0198,50,100.21,5010.55,7,Два роки,DSL,0,0,0
CUS0199,23,117.79,2709.17,5,Один рік,Оптоволокно,1,0,0
CUS0200,31,75.6,2343.62,7,Два роки,Оптоволокно,0,1,1
CUS0201,42,52.27,2195.28,8,Один рік,Немає,1,0,1
CUS0202,7,24.34,170.38,4,Один рік,Оптоволокно,1,1,1
CUS0203,16,112.46,1799.43,2,Два роки,Немає,0,0,1
CUS0204,60,111.91,6714.69,4,Місяць-до-місяця,DSL,0,0,1
CUS0205,2,45.3,90.6,4,Місяць-до-місяця,Немає,1,0,1
CUS0206,1,89.54,89.54,4,Місяць-до-місяця,DSL,1,0,0
CUS0207,48,27.54,1322.09,2,Два роки,Немає,0,1,0
CUS0208,12,36.62,439.46,9,Два роки,Оптоволокно,0,0,1
CUS0209,69,41.68,2875.98,3,Місяць-до-місяця,Немає,1,0,0
CUS0210,37,49.45,1829.63,8,Один рік,Оптоволокно,0,0,1
CUS0211,32,119.58,3826.66,9,Два роки,Оптоволокно,1,0,0
CUS0212,9,89.69,807.23,8,Місяць-до-місяця,Оптоволокно,1,0,1
CUS0213,19,58.42,1109.98,1,Один рік,Оптоволокно,1,0,0
CUS0214,48,93.71,4498.08,7,Два роки,DSL,1,0,0
CUS0215,3,111.53,334.58,7,Місяць-до-місяця,DSL,0,0,0
CUS0216,20,115.87,2317.4,6,Один рік,DSL,0,0,0
CUS0217,24,25.79,618.87,7,Місяць-до-місяця,DSL,0,0,1
CUS0218,54,59.45,3210.42,2,Два роки,Немає,0,1,0
CUS0219,33,30.68,1012.3,5,Два роки,DSL,0,1,0
CUS0220,24,53.57,1285.58,0,Два роки,Немає,0,0,1
CUS0221,36,36.97,1330.85,6,Місяць-до-місяця,DSL,0,0,1
CUS0222,38,84.68,3218.02,0,Два роки,DSL,1,0,0
CUS0223,25,58.83,1470.67,8,Два роки,Оптоволокно,0,0,1
CUS0224,18,42.94,772.91,0,Місяць-до-місяця,Оптоволокно,0,0,0
CUS0225,66,46.59,3075.19,0,Два роки,Оптоволокно,1,1,0
CUS0226,54,56.03,3025.86,6,Місяць-до-місяця,Оптоволокно,0,0,0
CUS0227,35,45.99,1609.82,1,Один рік,Оптоволокно,0,1,0
CUS0228,61,65.32,3984.77,4,Місяць-до-місяця,DSL,1,0,0
CUS0229,41,23.23,952.5,7,Місяць-до-місяця,Немає,0,0,1
CUS0230,33,47.98,1583.22,7,Місяць-до-місяця,Немає,0,0,1
CUS0231,68,61.12,4156.21,2,Один рік,Оптоволокно,0,1,0
CUS0232,33,80.28,2649.18,6,Місяць-до-місяця,DSL,1,0,1
CUS0233,14,47.1,659.34,2,Один рік,Оптоволокно,0,0,1
CUS0234,21,33.32,699.69,5,Місяць-до-місяця,DSL,0,0,1
CUS0235,48,27.62,1325.76,5,Місяць-до-місяця,DSL,1,0,0
CUS0236,20,114.05,2281.06,2,Один рік,DSL,0,0,1
CUS0237,8,61.66,493.31,6,Один рік,Оптоволокно,1,0,1
CUS0238,7,78.12,546.81,2,Місяць-до-місяця,Немає,1,0,1
CUS0239,67,111.92,7498.48,7,Один рік,Оптоволокно,0,0,1
CUS0240,17,28.27,480.67,9,Два роки,Оптоволокно,1,0,1
CUS0241,33,107.67,3552.98,3,Один рік,Оптоволокно,1,0,0
CUS0242,48,75.16,3607.62,0,Місяць-до-місяця,DSL,0,0,0
CUS0243,59,36.48,2152.52,3,Місяць-до-місяця,DSL,1,0,0
CUS0244,22,61.13,1344.76,6,Два роки,Немає,1,0,0
CUS0245,30,97.76,2932.81,3,Місяць-до-місяця,DSL,0,0,0
CUS0246,38,68.04,2585.41,5,Два роки,Немає,0,1,0
CUS0247,51,118.53,6044.96,8,Один рік,Оптоволокно,0,0,0
CUS0248,54,57.67,3114.39,0,Два роки,Оптоволокно,1,0,0
CUS0249,8,94.96,759.66,4,Один рік,Оптоволокно,0,0,1
CUS0250,27,59.3,1601.07,6,Два роки,Оптоволокно,1,0,0
CUS0251,27,102.92,2778.74,0,Місяць-до-місяця,Немає,1,0,1
CUS0252,21,76.91,1615.07,3,Один рік,Немає,1,0,0
CUS0253,30,26.35,790.54,5,Місяць-до-місяця,Оптоволокно,1,0,0
CUS0254,28,23.68,663.1,1,Місяць-до-місяця,DSL,1,0,1
CUS0255,64,33.39,2136.65,9,Один рік,Оптоволокно,1,0,0
CUS0256,69,21.37,1474.34,4,Два роки,Немає,1,0,0
CUS0257,61,27.54,1679.69,9,Два роки,DSL,0,0,0
CUS0258,48,89.17,4280.23,0,Один рік,Оптоволокно,0,0,0
CUS0259,19,73.43,1395.26,5,Місяць-до-місяця,Оптоволокно,1,0,0
CUS0260,4,94.99,379.96,5,Місяць-до-місяця,Оптоволокно,1,0,1
CUS0261,35,111.32,3896.08,3,Один рік,DSL,0,1,0
CUS0262,64,78.51,5024.96,7,Місяць-до-місяця,Оптоволокно,1,0,1
CUS0263,49,92.61,4537.99,3,Місяць-до-місяця,Немає,0,0,0
CUS0264,17,95.71,1627.04,7,Місяць-до-місяця,DSL,0,0,1
CUS0265,44,57.79,2542.54,7,Місяць-до-місяця,DSL,0,0,0
CUS0266,30,44.11,1323.25,4,Місяць-до-місяця,Немає,1,0,0
CUS0267,46,40.5,1863.21,3,Місяць-до-місяця,DSL,1,0,1
CUS0268,6,45.14,270.87,1,Місяць-до-місяця,Немає,0,0,1
CUS0269,37,47.47,1756.51,2,Місяць-до-місяця,Оптоволокно,0,0,0
CUS0270,24,40.72,977.35,2,Два роки,DSL,0,0,1
CUS0271,46,107.82,4959.82,3,Місяць-до-місяця,Немає,0,0,0
CUS0272,53,95.7,5072.1,3,Місяць-до-місяця,Оптоволокно,0,0,0
CUS0273,60,24.69,1481.38,9,Один рік,Оптоволокно,1,1,0
CUS0274,63,46.87,2952.64,4,Місяць-до-місяця,DSL,0,0,0
CUS0275,32,22.22,710.99,3,Два роки,Оптоволокно,1,0,1
CUS0276,33,69.82,2303.95,9,Один рік,DSL,0,1,0
CUS0277,67,67.62,4530.61,7,Місяць-до-місяця,DSL,1,0,0
CUS0278,18,103.14,1856.47,5,Місяць-до-місяця,Немає,1,0,1
CUS0279,25,50.78,1269.44,5,Два роки,DSL,1,0,0
CUS0280,54,101.64,5488.48,7,Два роки,Оптоволокно,1,0,0
CUS0281,58,116.8,6774.25,6,Місяць-до-місяця,DSL,1,0,0
CUS0282,67,28.84,1932.34,9,Один рік,Оптоволокно,1,0,0
CUS0283,46,99.18,4562.36,9,Місяць-до-місяця,DSL,0,0,1
CUS0284,24,79.0,1895.89,7,Два роки,Немає,1,1,0
CUS0285,32,68.0,2176.15,1,Місяць-до-місяця,Оптоволокно,0,0,0
CUS0286,47,62.05,2916.52,8,Два роки,DSL,1,0,0
CUS0287,23,98.47,2264.74,0,Один рік,DSL,1,0,0
CUS0288,66,83.94,5539.78,7,Один рік,DSL,0,0,1
CUS0289,27,100.5,2713.62,3,Один рік,Оптоволокно,1,0,1
CUS0290,2,110.32,220.63,3,Місяць-до-місяця,DSL,0,1,0
CUS0291,17,81.73,1389.35,4,Місяць-до-місяця,Немає,0,0,1
CUS0292,33,118.05,3895.53,7,Місяць-до-місяця,Оптоволокно,0,0,0
CUS0293,9,80.81,727.28,4,Місяць-до-місяця,DSL,0,0,0
CUS0294,43,83.66,3597.57,7,Один рік,Оптоволокно,1,1,1
CUS0295,48,75.48,3623.11,9,Місяць-до-місяця,Оптоволокно,1,0,0
CUS0296,39,29.1,1134.91,0,Місяць-до-місяця,DSL,0,0,0
CUS0297,42,92.64,3890.87,9,Два роки,DSL,1,0,0
CUS0298,26,74.74,1943.36,8,Два роки,DSL,1,1,0
CUS0299,50,65.09,3254.55,5,Два роки,Оптоволокно,0,1,0
CUS0300,25,111.05,2776.18,2,Два роки,Оптоволокно,1,1,1
